number,crn,name,days,time,room,instructor,avail_max,desc,gen_ed
HIST 275-01,10358,The Rise of Modern China,T R,01:20 pm-02:50 pm,HUM 215,James Coplin,5 / 20,"A study of leading institutions and movements of nineteenth- and twentieth-century China. Major emphases include the impact of Western imperialism, intellectual and cultural changes, the transformation of peasant society through revolution, the rise of Mao Tse-Tung, and the Great Proletarian Cultural Revolution, and the rise of China as a world power. Special attention will be given to China's international relations. Meets the post-1800 requirement, and can count towards ""Colonization and Empire,"" or ""Race and Indigeneity,"" or ""Law and Social Justice,"" or ""Asia"" fields.",Internationalism
HIST 281-01,10362,The Andes: Landscape and Power,T R,01:20 pm-02:50 pm,MAIN 111,Ernesto Capello,6 / 20,"This course explores the interaction between landscape and power in Andean history from the colonial period to the present day. The dramatic mountains have both shaped and have been shaped by sociopolitical relations, from the ""vertical archipelagos"" of ancient Andean peoples to the extractive economies of the Spanish and post-colonial Andean states. The course incorporates analytical perspectives from environmental, cultural, and urban history, alongside eyewitness accounts, to consider the relationship between the natural and built environments, on the one hand, and Andean racial and social identities, on the other. In selected years, this course will involve collaboration with contemporary Andean communities deploying oral history as a means of community and environmental preservation. Meets the post-1800 requirement, and can count towards ""Colonization and Empire,"" or ""Environment,"" or ""Race and Indigeneity,"" or ""Latin American/Caribbean"" fields.","Writing WA
                    Internationalism"
HIST 294-01,10367,Listen Closely: Oral History,T R,09:40 am-11:10 am,MAIN 001,Amy Sullivan,2 / 15,"What does the theory and practice of oral history have to offer in today's world of video chatting, social media, and the ability of anyone, anywhere to record and broadcast their own version of reality? What is oral history, exactly, and why is it important to formally record, transcribe, and preserve the memories and narratives of people involved in both historical and current events? This course provides students with a theoretical understanding of oral history as well as the opportunity to practice interviewing, transcribing, and interpreting events, memories, and narratives through a variety of local projects and community collaborations. All majors are welcome--oral history is an interdisciplinary practice!",
HIST 294-02,10619,Between Europe and Asia,M W F,01:10 pm-02:10 pm,THEATR 203,Maria Fedorova,3 / 20,"What is Northern Eurasia? Who inhabited the territory of present-day Russia, Ukraine, the Baltic countries, the Caucasus, and parts of Central Asia? How did groups of diverse ethnic, religious, cultural, and economic backgrounds interact with one another? This course aims to answer these questions and explore the history of peoples and spaces in Northern Eurasia from the medieval period to the fall of the Soviet Union. Stretching from the Baltic Sea to the Pacific Ocean, Northern Eurasia has been a place of intensive cultural exchange for many centuries. During this time, various groups came into contact that resulted in trade, wars, imperial rule, and revolutionary insurrections, as well as socialist experiments. The complex history of relations among peoples is the subject of this course. Drawing on a variety of primary sources, literary works, and films, we will discuss such topics as Eurasian identities; indigenous peoples; ideas of Russianness, imperialism, and Orientalism; the Eurasianist movement of the early 20th century; and the Soviet nation-building project.",
HIST 340-01,10258,US Urban Environmental History,T R,09:40 am-11:10 am,OLRI 243,Chris Wells,3 / 15,"In the minds of many Americans, cities are places where nature is absent-places where nature exists only in the crevices and on the margins of spaces dominated by technology, concrete, and human artifice. This course confronts this assumption directly, drawing on the scholarship from the relatively young field of urban environmental history to uncover the deep interconnections between urban America and the natural world. Among the other things, we will examine how society has drawn upon nature to build and sustain urban growth, the implications that urban growth has for transforming ecosystems both local and distant, and how social values have guided urbanites as they have built and rearranged the world around them. Using the Twin Cities has a backdrop and constant reference point, we will attempt to understand the constantly changing ways that people, cities, and nature have shaped and reshaped one another throughout American history. Meets the History post-1800 requirement, and can count towards ""Environment,"" or ""North America"" fields.",
HIST 367-01,10789,The Holocaust,W,07:00 pm-10:00 pm,MAIN 002,Jessica Pearson, Closed 1 / 16,"This reading- and writing-intensive course will explore one of the most tragic and transformative events of the 20th century: The Holocaust. Over the course of the semester, we will ask: What made the Holocaust possible? In what ways did Nazi genocide in the 1940s build on previous centuries of religious and racial prejudice? What factors shaped the way that people experienced the Holocaust? Why did so many people collaborate and how can we understand resistance and survival as complex and multi-faceted experiences? How can employing a global or comparative historical approach expand our understanding of the Holocaust? And finally, in what ways did the Holocaust bring about a revolution in human rights? Whenever possible, we will explore these questions through the first-hand perspectives. In addition to our shared course material, students will engage in their own independent research and writing projects. Throughout the semester we will work together to foster a supportive intellectual community. Meets the global and/or comparative requirement for the history major and can count towards the ""Law and Social Justice,"" ""Race and Indigeneity,"" or ""Global/Comparative"" fields. Prerequisite(s): One previous History course.","Writing WA
                    Internationalism"
HIST 394-03,10370,World Economies,T R,03:00 pm-04:30 pm,MAIN 001,Walter Greason,9 / 15,"What is a world system? How did scholars create concepts like Gross Domestic Product? These questions, and the evidence used to answer them, will be the main focus of this course. Starting with a detailed look at the economies of Islamic caliphates in the early modern period, students will combine historical, architectural, and archaeological resources to construct new perspectives on the evolution of world economies over the last five hundred years.",
HIST 394-04,10371,Indigenous America,M W F,01:10 pm-02:10 pm,MAIN 011,Jacob Jurss,10 / 15,"This course examines the histories, cultures, and lived experiences of the peoples who are Indigenous to the Americas. Highlighting the complexities and diversities of these vast regions, the course explores Indigenous ways of life while providing a space for deep engagement with the ways in which Indigenous Americans have encountered, engaged with, and resisted centuries of colonialism and imperialism.",U.S. Identities and Differences
HIST 490-01,10372,Senior Seminar,M W,08:00 am-09:30 am,MAIN 001,Karin Velez,8 / 20,"The senior seminar is taught every fall on themes that cross chronological and geographic lines. Past themes have included Memory, Migration, Gender and Micro-History.","Writing WA
                    Internationalism"
INTD 103-01,10805,Writing U.S. Academic Culture,T R,09:40 am-11:10 am,HUM 214,Jake Mohan,2 / 16,"Writing in U.S. Academic Culture will familiarize students with traditional writing practices in U.S. academic contexts and advance students' college-level writing. We will specifically explore common writing experiences of multilingual writers and cultural differences at the intersections of language, authority, knowledge, race, gender, and class. We will read samples of academic writing from various disciplines in the sciences, social sciences, arts, and humanities, and complete academic writing projects relevant to students' interests. Although this course is open to all students, first- or second-year students who identify as multilingual and/or international are especially encouraged to enroll. Students will perform numerous types of low-stakes writing with an emphasis on process, the development of a regular writing practice, and the value of drafting. Students will workshop each other's writing, and graded writing assignments will undergo multiple drafting stages. Students will complete formal academic papers totaling at least 20 pages in length.","Writing WA
                    U.S. Identities and Differences"
INTD 202-01,10373,Intellectual Property,W,07:00 pm-09:00 pm,OLRI 301,"Parins, Pribnow", Closed 7 / 12,"This course provides an introduction to intellectual property law (IP) with an emphasis on patent law.  The course is for students who are planning careers in science or technology, such as industrial R&D, technology management, university research, or entrepreneurship.  Students will be introduced to the basics of patents and trade secrets with trademarks and copyrights also being introduced.  Students will get a hands-on introduction to patent claim drafting, patent searching as well as the drafting of an invention disclosure.  Common legal agreements of interest to technical professionals will also be discussed, for example, employment agreements, nondisclosure agreements, and licensing agreements.",
INTD 330-01,10374,Mellon Seminar: Exploring Academia,W,12:00 pm-01:00 pm,MAIN 011,Karin Velez,2 / 10,"Corequisite(s): The Mellon Seminar is for students who are the recipients of the Mellon Mays Undergraduate Fellowship. The course is interdisciplinary, in order to meet the needs of students across the Mellon-designated fields. They will develop their academic interests to the fullest, with the intent to enter Ph.D. programs, and careers in higher education. We will cover topics such as contemporary issues in higher education, the politics of knowledge production,""and preparing to apply to graduate school. This course is designed to train students who will pursue PhDs and subsequent careers in academia in selected core fields in the Arts and Sciences. Our objective is to prepare for the Professoriate. S/N grading only. May be repeated multiple times for credit.",
INTL 111-01,10376,Intro to International Studies: Literature and Global Culture,M W F,09:40 am-10:40 am,CARN 404,David Moore,4 / 25,"One of the most significant trends of the current era has been globalization: the shrinking of distances, the greater interpenetration of the world's peoples, and the rise, perhaps, of a so-called global culture. Yet it is too simple to say, ""it's all a big mix,"" for the questions of how the mixing is done, and who mixes, are complex. The study of literature illuminates these questions. By reading important recent texts, this course tackles ""world"" questions: what does it mean to be from a certain place? what is a culture? and who are we in it? We'll work to link our own personal readings with the texts in dialogue with the world. Texts will be drawn from U.S. multicultural, ""world,"" and travel literature, and rich theoretical readings. Open to first- and second-year students, or permission of the instructor. Prerequisite(s): Open only to First Year students and rising sophomores.","Writing WA
                    Internationalism"
INTL 111-02,10377,Intro to International Studies: Literature and Global Culture,M W F,10:50 am-11:50 am,CARN 404,David Moore,2 / 25,"One of the most significant trends of the current era has been globalization: the shrinking of distances, the greater interpenetration of the world's peoples, and the rise, perhaps, of a so-called global culture. Yet it is too simple to say, ""it's all a big mix,"" for the questions of how the mixing is done, and who mixes, are complex. The study of literature illuminates these questions. By reading important recent texts, this course tackles ""world"" questions: what does it mean to be from a certain place? what is a culture? and who are we in it? We'll work to link our own personal readings with the texts in dialogue with the world. Texts will be drawn from U.S. multicultural, ""world,"" and travel literature, and rich theoretical readings. Open to first- and second-year students, or permission of the instructor. Prerequisite(s): Open only to First Year students and rising sophomores.","Writing WA
                    Internationalism"
INTL 111-F1,11005,Intro to International Studies: Literature and Global Culture,T R,03:00 pm-04:30 pm,CARN 404,David Moore,0 / 17,"One of the most significant trends of the current era has been globalization: the shrinking of distances, the greater interpenetration of the world's peoples, and the rise, perhaps, of a so-called global culture. Yet it is too simple to say, ""it's all a big mix,"" for the questions of how the mixing is done, and who mixes, are complex. The study of literature illuminates these questions. By reading important recent texts, this course tackles ""world"" questions: what does it mean to be from a certain place? what is a culture? and who are we in it? We'll work to link our own personal readings with the texts in dialogue with the world. Texts will be drawn from U.S. multicultural, ""world,"" and travel literature, and rich theoretical readings. Open to first- and second-year students, or permission of the instructor. Prerequisite(s): Open only to First Year students and rising sophomores.","Writing WA
                    Internationalism"
INTL 202-01,10381,Global Media Industries,T R,09:40 am-11:10 am,CARN 404,Alix Johnson, Closed 3 / 20,"Global media collectively have tremendous influence in how many see and comprehend the world and therefore on the information and beliefs upon which they feel or act. While media are central to the continued production of a sense of ""the world"" at large or the ""global"" scale, media industries are situated geographically, culturally and institutionally. Even if they promise worldwide coverage or are multinational companies, there is much to be gained from studying how media are produced and distributed differently according to specific social, political, economic and historical conditions. This course considers media industries around the world with a focus on the relationships between the labor and infrastructures behind representations in a broad range of media (television, radio, cinema, news, telecommunications, internet).",Internationalism
INTL 239-01,10793,Global Food Problems,T R,01:20 pm-02:50 pm,CARN 304,Amy Damon, Closed 0 / 25,"This class will examine food distribution, production, policy, and hunger issues from an economics perspective.  It explores and compares food and agriculture issues in both industrialized and developing countries. Basic economic tools will be applied to provide an analytical understanding of these issues.  Topics such as hunger and nutrition, US farm policy, food distribution, food security, food aid, biotechnology and the Green Revolution, the connection between food production and health outcomes, as well as others related themes will be explored in depth throughout the semester.  This course counts as a Group E elective for the Economics major. Prerequisite(s): ECON 119 or ECON 129. C- or higher required for Economics major prerequisites.",
INTL 272-01,10617,The Post-Soviet Sphere,T R,01:20 pm-02:50 pm,THEATR 203,James von Geldern, Closed 0 / 20,"The USSR's 1991 dissolution ended one of history's great experiments. Socialism sought to dissolve ethnicity and overcome ethnic conflict with a focus on equality. Instead it exacerbated nationalism and created-separated identities. But how? Topics include ethno-creation, control, and resistance; ethnic animosities and the USSR's destruction; new states after 1991; ""diaspora"" populations beyond ethnic homelands; local rebellions; new ""native"" dictatorships; and recent international organizations.",Internationalism
INTL 282-01,10847,Introduction to International Public Health,T R,01:20 pm-02:50 pm,OLRI 100,Vanessa Voller,-1 / 20,"This course introduces and explores the major health problems facing developing countries, and the main approaches to remediation. The course considers the social determinants of health, and the need for public health programs to address the root causes of health inequities as well as illness itself. Focus is at the country, international-organization, and donor levels. Attention will be given to major indicators, recent trends, policies, and metrics for monitoring progress. A case study, such as international tuberculosis control, will be used as an applied analysis.",
INTL 294-01,10378,The Middle East Through Film,M,07:00 pm-10:00 pm,CARN 404,Jenna Rice Rahaim, Closed 1 / 20,"This course provides an introduction to the history, politics, and aesthetics of Middle Eastern cinema. Over the course of the semester, we will examine the development of both local and regional cinematic traditions; the role of cinema in the production of collective memory of conflict and war; the international circulation of film as a form of soft power; and, not least, the profound discursive power of cinematic humor. Readings will offer an introduction to methods of film analysis as well as to the political and artistic history of the modern Middle East.",Internationalism
INTL 294-02,10379,Participatory Action Research and Ethics for Public Health,W,07:00 pm-10:00 pm,CARN 404,Vanessa Voller,3 / 10,"CBPR, and related-Participatory Action & Community-Engaged Research, is defined as a ""collaborative approach that equitably involves all partners in research…with the aim of combining knowledge and action for social change to improve health and eliminate health disparities” (Kellogg Foundation). Not simply a set of research methods, CBPR fundamentally changes the relationship between researchers and those being researched. In this introductory course, learners will be immersed in the study and application of CBPR with the ultimate aim of adding to their repertoire of effective approaches to understanding and addressing social and health disparities. Topics in the course will explore the purpose and applications of CBPR; partnership formation and maintenance; issues of power, trust, race, class, and social justice; conflict resolution; ethical issues; CBPR's relationship to cultural knowledge systems, and funding CBPR projects. Working in small groups, learners will identify a small-scale CBPAR project on campus and develop a research proposal to address the health disparity they identify with their on campus partners. This is NOT a methodology course. CBPR is an approach to conducting research that is amenable to a variety of research designs and methodologies and will NOT cover topics such as survey design, quantitative methods, qualitative methods, focus groups, community needs assessment procedures, etc.",Internationalism
INTL 294-03,10380,Health Justice and the COVID-19 Pandemic,T R,03:00 pm-04:30 pm,OLRI 100,Vanessa Voller,2 / 15,"In this course, learners will be immersed in the study of health justice, the social and structural determinants of health, and the principles of global health delivery as it relates to the ongoing COVID-19 pandemic. Learners will be introduced to and explore major health problems facing BIPOC and low-income communities both locally in the Twin Cities and globally and examine how and why systemic racism and other forms of oppression are contributing to a disproportionate COVID-19 infection and case mortality rate in BIPOC communities and low income communities. The course considers the social, structural, and political determinants of health and the need for public health programs to address the root causes of health inequities as well as poor health itself. Attention will be given to major indicators, recent trends, policies, and metrics for monitoring progress. Learners will participate in several workshops throughout the semester to develop their skills as future public health professionals and leaders. The Covid-19 case study will be used as an applied analysis throughout the semester.",Internationalism
INTL 294-04,10846,Digital Cultures,T R,01:20 pm-02:50 pm,CARN 404,Alix Johnson,1 / 20,"In the early days of the internet, many people predicted that the increased speed and scale of communications would make for a more homogenous world. Now, decades later, we see something different: a proliferation of cross-fertilizing cultures, sub-cultures, and counter-cultures online. This course explores some of this rich variety, studying online social worlds (from influencers to hacktivists) and the ways in which IT-informed ways of being seep into social life offline (from ideologies of innovation to algorithmic oppression). Critically deploying the concept of culture and the tools of ethnography to understand these emergent formations, this course will pay particular attention to difference and power while situating “the digital” in international context.",Internationalism
INTL 320-01,10555,Global Political Economy,T R,09:40 am-11:10 am,CARN 304,Bora Jeong, Closed 1 / 20,"Traces the evolution of (global) political economy as a peculiarly modern way of understanding and organizing (global) social life. Particular attention will be paid to how the distinction between the political and the economic is drawn and implemented in interconnected ways within nation-states and in international society. Course includes a detailed study of one of the key components of the international political economy: international trade, international finance, technological processes, etc. Prerequisite(s): Sophomore standing or permission of instructor.",Internationalism
INTL 335-01,10384,Global Generosity,M W F,03:30 pm-04:30 pm,MAIN 009,Jenna Rice Rahaim, Closed -1 / 20,"From Italian Mafia dons to famous American philanthropists; from the knitting of ""trauma teddies"" in Helsinki to gift shopping in London; and from ceremonial exchange rings in Melanesia to the present day global refugee crisis: this course will investigate how generosity is understood and practiced in global perspective. We'll begin the semester by examining key debates surrounding reciprocity, gifts, and exchange, theories of altruism and generosity, and patron-client relations. We'll then explore the birth of the ""humanitarian spirit,"" and the complicated ethics and politics of humanitarian intervention. We will compare diverse religious traditions' approaches to giving, including Islam, Christianity, Hinduism, and Jainism. And we'll explore contemporary debates surrounding volunteerism within sectarian and neoliberal political regimes.",Internationalism
JAPA 101-01,10048,First Year Japanese I,M W F,09:40 am-10:40 am,HUM 110,Arthur Mitchell,2 / 20,Introduction to Japanese language and culture. Practice in basic sentence patterns and conversational expressions to enable students to speak and write Japanese.,
JAPA 101-02,10049,First Year Japanese I,M W F,10:50 am-11:50 am,HUM 110,Arthur Mitchell,12 / 20,Introduction to Japanese language and culture. Practice in basic sentence patterns and conversational expressions to enable students to speak and write Japanese.,
JAPA 101-L1,10050,First Year Japanese I Lab,T,01:20 pm-02:20 pm,HUM 113,Nora Farley,7 / 15,Introduction to Japanese language and culture. Practice in basic sentence patterns and conversational expressions to enable students to speak and write Japanese.,
JAPA 101-L2,10051,First Year Japanese I Lab,T,03:30 pm-04:30 pm,HUM 113,Nora Farley,8 / 15,Introduction to Japanese language and culture. Practice in basic sentence patterns and conversational expressions to enable students to speak and write Japanese.,
JAPA 101-L3,10052,First Year Japanese I Lab,T,10:10 am-11:10 am,HUM 113,Nora Farley,4 / 15,Introduction to Japanese language and culture. Practice in basic sentence patterns and conversational expressions to enable students to speak and write Japanese.,
JAPA 150-01,10927,Language and Gender in Japanese Society,T R,03:00 pm-04:30 pm,HUM 110,Satoko Suzuki,3 / 20,"Japanese is considered to be a gendered language in the sense that women and men speak differently from each other. Male characters in Japanese animation often use ""boku"" or ""ore"" to refer to themselves, while female characters often use ""watashi"" or ""atashi."" When translated into Japanese, Hermione Granger (a female character in the Harry Potter series) ends sentences with soft-sounding forms, while Harry Potter and his best friend Ron use more assertive forms. Do these fictional representations reflect reality? How are certain forms associated with femininity or masculinity? Do speakers of Japanese conform to the norm or rebel against it? These are some of the questions discussed in this course. Students will have opportunities to learn about the history of gendered language, discover different methodologies in data collections, and find out about current discourse on language and gender.",Internationalism
JAPA 203-01,10053,Second Year Japanese I,M W F,02:20 pm-03:20 pm,HUM 110,Ritsuko Larson, Closed 4 / 20,"Continuation of JAPA 102. While the emphasis is placed on listening and speaking skills, students continue their study of kanji and begin to work with short texts. Prerequisite(s): JAPA 102  or its equivalent.",
JAPA 203-02,10054,Second Year Japanese I,M W F,03:30 pm-04:30 pm,HUM 110,Ritsuko Larson,9 / 20,"Continuation of JAPA 102. While the emphasis is placed on listening and speaking skills, students continue their study of kanji and begin to work with short texts. Prerequisite(s): JAPA 102  or its equivalent.",
JAPA 203-03,10887,Second Year Japanese I,M W F,01:10 pm-02:10 pm,HUM 110,Ritsuko Larson,7 / 15,"Continuation of JAPA 102. While the emphasis is placed on listening and speaking skills, students continue their study of kanji and begin to work with short texts. Prerequisite(s): JAPA 102  or its equivalent.",
JAPA 203-L1,10055,Second Year Japanese I Lab,R,10:10 am-11:10 am,HUM 113,Nora Farley,4 / 15,"Continuation of JAPA 102. While the emphasis is placed on listening and speaking skills, students continue their study of kanji and begin to work with short texts. Prerequisite(s): JAPA 102  or its equivalent.",
JAPA 203-L2,10056,Second Year Japanese I Lab,R,01:20 pm-02:20 pm,HUM 113,Nora Farley,4 / 15,"Continuation of JAPA 102. While the emphasis is placed on listening and speaking skills, students continue their study of kanji and begin to work with short texts. Prerequisite(s): JAPA 102  or its equivalent.",
JAPA 203-L3,10057,Second Year Japanese I Lab,R,03:30 pm-04:30 pm,HUM 113,Nora Farley,2 / 15,"Continuation of JAPA 102. While the emphasis is placed on listening and speaking skills, students continue their study of kanji and begin to work with short texts. Prerequisite(s): JAPA 102  or its equivalent.",
JAPA 254-01,10058,Japanese Film and Animation: From the Salaryman to the Shojo,M W F,01:10 pm-02:10 pm,THEATR 202,Arthur Mitchell, Closed 1 / 20,"This course surveys the history of Japanese film from the ""golden age"" of Japanese cinema to the contemporary transnational genre of anime. While introducing methodologies of film analysis and interpretation, it develops knowledge of how major works of Japanese film and animation have expressed and critiqued issues of modern Japanese society. In doing this, we trace the development of two related archetypes: the middle-class salaryman and the adolescent girl (shojo). These figures - as well as their incarnations as cyberpunks and mecha-warriors, sex workers and teen rebels - help us explore Japanese film's engagement with the strictures of middle-class society, the constrained status of women, fantasy and escapism, sexuality and desire. Weekly screenings and discussion will be supplemented by readings in film theory and cultural criticism. Directors include Ozu Yasujiro, Akira Kurosawa, Oshima Nagisa, Miyazaki Hayao, Anno Hideaki, and Hosoda Mamoru. No prior knowledge of Japanese required.","Writing WA
                    Internationalism"
JAPA 294-01,10060,"Language and Identity in Japanese, Asian American and Other Communities",T R,01:20 pm-02:50 pm,HUM 110,Satoko Suzuki,3 / 20,"This course aims to investigate the complex relationship between language and identity. Language plays a significant role in conveying one’s identity, as do other semiotic means such as clothing. By exploring scholarship that considers language as it relates to identity, students will discover how speakers/writers use their agency in expressing their identity and how identity emerges as a social and cultural phenomenon. They will learn about multiple interrelated factors that affect how speakers/writers view and use language such as race, ethnicity, nationality, and multilingualism in Japanese, Asian American, and other communities, and conduct research using authentic linguistic data. No knowledge of Japanese is required.",Internationalism
JAPA 305-01,10063,Third Year Japanese I,M W F,12:00 pm-01:00 pm,HUM 111,Sachiko Dorsey,7 / 20,"Continuation of JAPA 204. Emphasizes continued development of conversation skills, while not neglecting the development of reading skills. Prerequisite(s): JAPA 204  or permission of instructor.",
JAPA 305-L2,10065,Third Year Japanese I Lab,W,03:30 pm-04:30 pm,HUM 102,Nora Farley,2 / 15,"Continuation of JAPA 204. Emphasizes continued development of conversation skills, while not neglecting the development of reading skills. Prerequisite(s): JAPA 204  or permission of instructor.",
JAPA 407-01,10066,Fourth Year Japanese I,M W F,10:50 am-11:50 am,HUM 228,Sachiko Dorsey,11 / 15,"This course aims at the acquisition of advanced level proficiency in speaking, listening, reading and writing. Students are given opportunities to develop abilities to narrate and describe, to understand main ideas and most details of connected discourse on a variety of topics, to read prose several paragraphs in length, and to write routine social correspondence and join sentences in simple discourse of at least several paragraphs in length on familiar topics. In addition, students will practice language that is sociolinguistically appropriate in specific situations. May be repeated for credit. Prerequisite(s): JAPA 306  or permission of instructor.",
LATI 181-01,10349,Introduction to Latin America,T R,03:00 pm-04:30 pm,MAIN 111,Ernesto Capello,2 / 20,"This course offers a general survey of the complex and heterogeneous region we somewhat reductively term Latin America. It follows a roughly chronological approach, beginning with the eve of encounter and continuing through the contemporary era. Discussions will consider themes such as the institution and legacy of colonialism, the search for new national identities, and the onset of modern racial and political strife. The course will emphasize the import of global economic, political, and cultural trends on the formation of the region.","Writing WA
                    Internationalism"
LATI 194-F1,10845,This is Not Your Private Island: Caribbean Cultures of Decolonization,T R,09:40 am-11:10 am,HUM 213,Margaret Olsen,0 / 16,"The Caribbean islands are home to some of the most vibrant, multiethnic cultural landscapes in the world. In fact, the Caribbean was global centuries before the term globalization came into vogue. But the historical traumas of conquest, slavery and colonialism continue to fuel contemporary struggles against neocolonial structures that serve tourism, “free” trade, and a worldwide culture of consumption. In this course, our objective is to explore the ways in which Caribbean literature, art and performance offer powerful tools of decolonization in the struggle to protect cultural sovereignty as well as ecological diversity. To that end, we will learn how Caribbean writers, intellectuals, artists, and musicians confront the various challenges that islands of the region face, including political domination, racism, poverty, sexism, toxicity and transmigration. The course will challenge commonly-held notions of the Caribbean as merely a site for leisure and pleasure. This course is taught in English and seeks to build skills in critical thinking and argumentative writing. As such, it is discussion-based and prioritizes student-led learning. Reading expectations are moderate (50-60 pages per week).",Writing WA
LATI 258-F1,10802,Immigrant Voices in Times of Fear,M W F,09:40 am-10:40 am,CARN 05,Erika Busse-Cardenas,-1 / 14,"According to the International Organization for Migration (OIM), in 2019, the United States had the largest foreign-born population in the world. During the same year, immigrants represented 15% of the United States population while 53% of the foreign-born migrants came from Latin America. At the same time, we are observing the securitization of the US-Mexico border that is resulting in the removal of undocumented individuals from the U.S. in large numbers, specifically Latino men. The course examines recent U.S. immigration as part of a global (historical) phenomenon to understand how we got to where we are. While we will become familiar with immigration policies, we will pay attention to the experiences of immigrants, particularly those coming from Latin America. We will explore questions such as: What motivates people to migrate? How does migration reconfigure social relations, such as parental and community relations? This is a discussion-based course and includes guest speakers and a civic engagement project with a local organization.","Writing WA
                    U.S. Identities and Differences"
LATI 281-01,10364,The Andes: Landscape and Power,T R,01:20 pm-02:50 pm,MAIN 111,Ernesto Capello,6 / 20,"This course explores the interaction between landscape and power in Andean history from the colonial period to the present day. The dramatic mountains have both shaped and have been shaped by sociopolitical relations, from the ""vertical archipelagos"" of ancient Andean peoples to the extractive economies of the Spanish and post-colonial Andean states. The course incorporates analytical perspectives from environmental, cultural, and urban history, alongside eyewitness accounts, to consider the relationship between the natural and built environments, on the one hand, and Andean racial and social identities, on the other. In selected years, this course will involve collaboration with contemporary Andean communities deploying oral history as a means of community and environmental preservation.","Writing WA
                    Internationalism"
LATI 307-01,10670,Introduction to the Analysis of Hispanic Texts,M W F,01:10 pm-02:10 pm,HUM 217,Carmen Valdivia,3 / 12,"This course presents the student with essential tools for the critical analysis of a broad range of topics and forms of cultural production (literature, cinema, art, e-texts, etc.) in the Hispanic world. It also teaches the student advanced language skills in written composition and public oral presentation. This course satisfies the Area 2 requirement for the Spanish major. Prerequisite(s): SPAN 305 or SPAN 306.",
LATI 307-02,10800,Introduction to the Analysis of Hispanic Texts,M W F,12:00 pm-01:00 pm,HUM 215,J. Ernesto Ortiz Diaz,3 / 12,"This course presents the student with essential tools for the critical analysis of a broad range of topics and forms of cultural production (literature, cinema, art, e-texts, etc.) in the Hispanic world. It also teaches the student advanced language skills in written composition and public oral presentation. This course satisfies the Area 2 requirement for the Spanish major. Prerequisite(s): SPAN 305 or SPAN 306.",
LATI 308-01,10673,Introduction to U.S. Latinx Studies,M W F,10:50 am-11:50 am,HUM 212,Alicia Munoz,4 / 15,"This course provides an interdisciplinary discussion of the Latino experience in the United States with a focus on Mexican, Puerto Rican, Dominican, and Cuban- Americans. Using fiction, poetry, films and critical essays, we will examine issues of race and ethnicity, language, identity, gender and sexuality, politics, and immigration. This course satisfies the Area 2 requirement for the Spanish major. Prerequisite(s): SPAN 305 or SPAN 306",U.S. Identities and Differences
LATI 331-01,10683,Journeys through Brazil: Oral and Written Expression,M W F,03:30 pm-04:30 pm,HUM 214,J. Ernesto Ortiz Diaz,6 / 15,"Primarily designed to improve oral communication and to strengthen students' written proficiency and their awareness of grammar intricacies in Portuguese. In relation to writing, it serves as a bridge to upper-level courses. Conversations and compositions are based on the civilization and cultures of Brazil, which despite its continental size and being among the largest world economies remains a mystery to many. This course explores the socio-historical, political and cultural trajectory Brazil has undertaken while, at the same time, reflecting on how ideas such as nation, identity, race, ethnicity, and class have transformed the face of the country. A wide array of texts and materials -literature, music, painting, sculpture, architecture, dance, and cinema- is used to gain a broad and critical understanding of the Brazilian universe. It involves extensive reading appropriate to the level. Prerequisite(s): PORT 221","Writing WA
                    Internationalism"
LATI 394-01,10812,"Dictators, Revolutions and Insurrections",M W F,12:00 pm-01:00 pm,HUM 217,Carmen Valdivia, Closed 2 / 15,"Modern Hispanic cultural production in response to dictators, revolutions, and socio-political repression was varied and pointed. Students read a variety of contemporary authors and analyze how they represent social realities in discourse that reflects and informs societal changes. This course satisfies the Area 2 requirement for the Spanish major. Prerequisite(s): SPAN 305 or SPAN 306 and another 300-level Spanish course or consent of the instructor.",
LATI 488-01,10843,Senior Seminar,W,07:00 pm-10:00 pm,MAIN 001,Ernesto Capello,18 / 20,"An integrative, research-oriented capstone which gathers senior majors of diverse regional and disciplinary focuses during the final semester. A faculty convener will integrate a schedule of issue-area seminars, faculty methods and topics presentations, talks by visiting speakers, and student reports on research projects. The course culminates in a lengthy final paper.",
LING 100-01,10389,Introduction to Linguistics,M W F,10:50 am-11:50 am,THEATR 001,Morgan Sleeper,-3 / 30,"The aim of this course is to make you aware of the complex organization and systematic nature of language, the primary means of human communication. In a sense, you will be studying yourself, since you are a prime example of a language user. Most of your knowledge of language, however, is unconscious, and the part of language that you can describe is largely the result of your earlier education, which may have given you confused, confusing, or misleading notions about language. This course is intended to clarify your ideas about language and bring you to a better understanding of its nature. By the end of the course you should be familiar with some of the terminology and techniques of linguistic analysis and be able to apply this knowledge to the description of different languages. There are no prerequisites, but this course is the prerequisite for almost every higher level course within the linguistics major.",
